End of Period,Credit Number,Region,Country Code,Country,Credit Status,Project ID,Project Name,Original Principal Amount (US$),Cancelled Amount (US$),Undisbursed Amount (US$),Disbursed Amount (US$),Repaid to IDA (US$),Due to IDA (US$),Borrower's Obligation (US$),Board Approval Date,Effective Date (Most Recent),Column1
05/31/2019 12:00:00 AM,IDA3546A,AFRICA,TZ,Tanzania,Fully Repaid,P073397,TZ-Lower Kihansi Env Mgmt TAL (FY02),1633687.57,0,0,1872361.55,1905929.94,0,0,07-03-2001 00:00,09/18/2001 12:00:00 AM,
11/30/2019 12:00:00 AM,IDA14530,MIDDLE EAST AND NORTH AFRICA,RY,"Yemen, Republic of",Repaying,P005789,CENTRAL HIGHLANDS AG. DEV.,8000000,1842832.13,0,7658933.74,5090428.28,3461606.27,3461606.27,03/27/1984 12:00:00 AM,05-01-1985 00:00,
07/31/2018 12:00:00 AM,IDA57590,AFRICA,LR,Liberia,Effective,P149683,Liberia Renewable Energy Access Project,2000000,0,2107305,0,0,0,0,01-11-2016 00:00,10-03-2017 00:00,
06/30/2018 12:00:00 AM,IDA38600,MIDDLE EAST AND NORTH AFRICA,RY,"Yemen, Republic of",Repaying,P074413,RY-Groundwater & Soil Conserv Proj,40000000,0,0,41208188.81,3477649.23,34687422.77,34687422.77,02/26/2004 12:00:00 AM,08/17/2004 12:00:00 AM,
04/30/2012 12:00:00 AM,IDA38430,EAST ASIA AND PACIFIC,VN,Vietnam,Disbursing,P059663,VN-ROAD NETWORK IMPROVEMT,225260000,24171964.9,17304070.09,100000000,0,199594616.7,199594616.7,12/18/2003 12:00:00 AM,10/25/2004 12:00:00 AM,
12/31/2012 12:00:00 AM,IDA06770,EAST ASIA AND PACIFIC,PG,Papua New Guinea,Repaying,P004357,HIGHWAYS II,19000000,503947.44,0,18496052.56,10727732.56,7768320,7768320,01/25/1977 12:00:00 AM,03-02-1977 00:00,
12/31/2021 12:00:00 AM,IDA32440,LATIN AMERICA AND CARIBBEAN,BO,Bolivia,Fully Repaid,P060392,BO- HEALTH REFORM-APL I,25000000,1448307.33,0,21973502.96,24649640.55,0,0,06/15/1999 12:00:00 AM,12/13/1999 12:00:00 AM,
07/31/2011 12:00:00 AM,IDA21750,AFRICA,MZ,Mozambique,Fully Repaid,P001765,AGRI.REHAB.&DEV,15400000,9665891.18,0,6282043.11,6083362.96,0,0,09-06-1990 00:00,04/30/1991 12:00:00 AM,
01/31/2018 12:00:00 AM,IDAH0650,AFRICA,KE,Kenya,Fully Disbursed,P078209,KE-Dev Learning Centre LIL,2700000,168045.11,0,2856807.33,0,0,0,10/17/2003 12:00:00 AM,02-02-2004 00:00,
11/30/2021 12:00:00 AM,IDAH7140,AFRICA WEST,GN,Guinea,Fully Disbursed,P122402,"WARCIP - APL-1B: , GN, BF",34000000,151088.73,0,31755664.24,0,0,0,06/21/2011 12:00:00 AM,12/19/2011 12:00:00 AM,
04/30/2013 12:00:00 AM,IDA16420,EAST ASIA AND PACIFIC,CN,China,Repaying,P003439,RURAL CREDIT II,90000000,0,0,100000000,84971072.82,43848102.63,43848102.63,12/17/1985 12:00:00 AM,04/18/1986 12:00:00 AM,
03/31/2022 12:00:00 AM,IDA31270,MIDDLE EAST AND NORTH AFRICA,EG,"Egypt, Arab Republic of",Repaying,P040858,EG - SOHAG Rural Development,25000000,12251.42,0,27074069.26,23133327.19,3340963.17,3340963.17,08/27/1998 12:00:00 AM,10/17/2000 12:00:00 AM,
02/28/2018 12:00:00 AM,IDAD0630,EAST ASIA AND PACIFIC,WS,Samoa,Disbursing,P128904,WS:  Pac Reg Connect Phase III:  Samoa,16000000,0,7874653.66,8650209.06,0,0,0,06/19/2015 12:00:00 AM,09-04-2015 00:00,
08/31/2013 12:00:00 AM,IDA32900,LATIN AMERICA AND CARIBBEAN,GY,Guyana,Fully Repaid,P057272,GY FINANCIAL & PRIVATE SECTOR,4800000,152602.08,0,4493626.54,4981327.98,0,0,11/16/1999 12:00:00 AM,12-09-1999 00:00,
12/31/2013 12:00:00 AM,IDA50280,LATIN AMERICA AND CARIBBEAN,NI,Nicaragua,Disbursing,P123447,NI Rural Roads Infrastructure Imp.,6000000,0,2419026.46,3551778.85,0,3586973.54,3586973.54,12/13/2011 12:00:00 AM,03-12-2012 00:00,
05/31/2012 12:00:00 AM,IDA3184A,AFRICA,TZ,Tanzania,Fully Repaid,P047761,TZ-Tax Administration (FY99),19692326.53,0,0,20156665.68,20697197.4,0,0,03/30/1999 12:00:00 AM,11-03-1999 00:00,
06/30/2019 12:00:00 AM,IDA3632A,AFRICA,ET,Ethiopia,Fully Repaid,P057770,ET-Cultural Heritage LIL (FY02),438087.9,0,0,525649.93,528060.38,0,0,04/17/2002 12:00:00 AM,12-11-2002 00:00,
05/31/2019 12:00:00 AM,IDA43470,EAST ASIA AND PACIFIC,VN,Vietnam,Repaying,P083581,VN-HANOI URBAN TRANSPORT,155210000,43434550.21,0,100000000,3342832.31,97712131.14,97712131.14,07-03-2007 00:00,04/22/2008 12:00:00 AM,
04/30/2011 12:00:00 AM,IDA3597A,AFRICA,BF,Burkina Faso,Fully Repaid,P000309,Basic Education Sector Project,4216785.83,0,0,4924460.8,4867571.96,0,0,01/22/2002 12:00:00 AM,10/28/2002 12:00:00 AM,
03/31/2015 12:00:00 AM,IDA17860,LATIN AMERICA AND CARIBBEAN,HT,Haiti,Repaid,P007308,TAL,3000000,207893.9,0,2904267,3436308.46,-0.02,-0.02,04/28/1987 12:00:00 AM,07-07-1987 00:00,
01/31/2018 12:00:00 AM,IDA42420,AFRICA,KE,Kenya,Repaying,P087479,KE-Edu Sec Sup Project (FY07),80000000,27604700.79,0,54330204.56,979551.47,50503036.7,50503036.7,11-07-2006 00:00,03/28/2007 12:00:00 AM,
04/30/2014 12:00:00 AM,IDA24710,EAST ASIA AND PACIFIC,CN,China,Disbursed,P003567,CN-EFFECTIVE TEACHING S,100000000,0,0,100000000,43887342.13,67039589.4,67039589.4,03/16/1993 12:00:00 AM,01-11-1994 00:00,
04/30/2022 12:00:00 AM,IDA55820,Eastern and Southern Africa,MG,Madagascar,Repaying,P150503,MG-Reengagement DPO,45000000,0,0,44175590,2004841.26,39079221.09,39079221.09,12/18/2014 12:00:00 AM,12/30/2014 12:00:00 AM,
03/31/2023 12:00:00 AM,IDAD6640,WESTERN AND CENTRAL AFRICA,TD,Chad,Disbursing,P164748,Chad - Refugees and Host Communities,75000000,0,59588589.19,14450059.12,0,0,0,09-08-2020 00:00,12/22/2020 12:00:00 AM,
